"Statistic Label","CensusYear","Sex","Single Year of Age","County and City","UNIT","VALUE"
"Population","2011","Male","49 years","Cork City and Cork County","Number","3434"
"Population","2011","Male","49 years","Clare","Number","749"
"Population","2011","Male","49 years","Cavan","Number","469"
"Population","2011","Male","49 years","Carlow","Number","354"
"Population","2011","Male","49 years","Dublin City","Number","3035"
"Population","2011","Male","49 years","Donegal","Number","966"
"Population","2011","Male","49 years","Dún Laoghaire-Rathdown","Number","1361"
"Population","2011","Male","49 years","Fingal","Number","1573"
"Population","2011","Male","49 years","Galway City","Number","350"
"Population","2011","Male","49 years","Galway County","Number","1210"
"Population","2011","Male","49 years","Kildare","Number","1338"
"Population","2011","Male","49 years","Kilkenny","Number","609"
"Population","2011","Male","49 years","Kerry","Number","953"
"Population","2011","Male","49 years","Longford","Number","246"
"Population","2011","Male","49 years","Louth","Number","776"
"Population","2011","Male","49 years","Limerick City and County","Number","1211"
"Population","2011","Male","49 years","Leitrim","Number","207"
"Population","2011","Male","49 years","Laois","Number","505"
"Population","2011","Male","49 years","Meath","Number","1150"
"Population","2011","Male","49 years","Monaghan","Number","406"
"Population","2011","Male","49 years","Mayo","Number","823"
"Population","2011","Male","49 years","Offaly","Number","475"
"Population","2011","Male","49 years","Roscommon","Number","426"
"Population","2011","Male","49 years","South Dublin","Number","1522"
"Population","2011","Male","49 years","Sligo","Number","440"
"Population","2011","Male","49 years","Tipperary","Number","1043"
"Population","2011","Male","49 years","Waterford City and County","Number","754"
"Population","2011","Male","49 years","Westmeath","Number","566"
"Population","2011","Male","49 years","Wicklow","Number","960"
"Population","2011","Male","49 years","Wexford","Number","969"
"Population","2011","Male","50 years","State","Number","29167"
"Population","2011","Male","50 years","Cork City and Cork County","Number","3359"
"Population","2011","Male","50 years","Clare","Number","802"
"Population","2011","Male","50 years","Cavan","Number","461"
"Population","2011","Male","50 years","Carlow","Number","343"
"Population","2011","Male","50 years","Dublin City","Number","3099"
"Population","2011","Male","50 years","Donegal","Number","964"
"Population","2011","Male","50 years","Dún Laoghaire-Rathdown","Number","1306"
"Population","2011","Male","50 years","Fingal","Number","1544"
"Population","2011","Male","50 years","Galway City","Number","379"
"Population","2011","Male","50 years","Galway County","Number","1210"
"Population","2011","Male","50 years","Kildare","Number","1357"
"Population","2011","Male","50 years","Kilkenny","Number","637"
"Population","2011","Male","50 years","Kerry","Number","997"
"Population","2011","Male","50 years","Longford","Number","247"
"Population","2011","Male","50 years","Louth","Number","757"
"Population","2011","Male","50 years","Limerick City and County","Number","1183"
"Population","2011","Male","50 years","Leitrim","Number","222"
"Population","2011","Male","50 years","Laois","Number","507"
"Population","2011","Male","50 years","Meath","Number","1186"
"Population","2011","Male","50 years","Monaghan","Number","384"
"Population","2011","Male","50 years","Mayo","Number","890"
"Population","2011","Male","50 years","Offaly","Number","537"
"Population","2011","Male","50 years","Roscommon","Number","453"
"Population","2011","Male","50 years","South Dublin","Number","1607"
"Population","2011","Male","50 years","Sligo","Number","433"
"Population","2011","Male","50 years","Tipperary","Number","1153"
"Population","2011","Male","50 years","Waterford City and County","Number","718"
"Population","2011","Male","50 years","Westmeath","Number","553"
"Population","2011","Male","50 years","Wicklow","Number","916"
"Population","2011","Male","50 years","Wexford","Number","963"
"Population","2011","Male","51 years","State","Number","27888"
"Population","2011","Male","51 years","Cork City and Cork County","Number","3189"
"Population","2011","Male","51 years","Clare","Number","751"
"Population","2011","Male","51 years","Cavan","Number","498"
"Population","2011","Male","51 years","Carlow","Number","319"
"Population","2011","Male","51 years","Dublin City","Number","2913"
"Population","2011","Male","51 years","Donegal","Number","965"
"Population","2011","Male","51 years","Dún Laoghaire-Rathdown","Number","1267"
"Population","2011","Male","51 years","Fingal","Number","1536"
"Population","2011","Male","51 years","Galway City","Number","350"
"Population","2011","Male","51 years","Galway County","Number","1167"
"Population","2011","Male","51 years","Kildare","Number","1177"
"Population","2011","Male","51 years","Kilkenny","Number","677"
"Population","2011","Male","51 years","Kerry","Number","1013"
"Population","2011","Male","51 years","Longford","Number","265"
"Population","2011","Male","51 years","Louth","Number","720"
"Population","2011","Male","51 years","Limerick City and County","Number","1156"
"Population","2011","Male","51 years","Leitrim","Number","227"
"Population","2011","Male","51 years","Laois","Number","479"
"Population","2011","Male","51 years","Meath","Number","1055"
"Population","2011","Male","51 years","Monaghan","Number","422"
"Population","2011","Male","51 years","Mayo","Number","898"
"Population","2011","Male","51 years","Offaly","Number","519"
"Population","2011","Male","51 years","Roscommon","Number","393"
"Population","2011","Male","51 years","South Dublin","Number","1434"
"Population","2011","Male","51 years","Sligo","Number","455"
"Population","2011","Male","51 years","Tipperary","Number","1013"
"Population","2011","Male","51 years","Waterford City and County","Number","719"
"Population","2011","Male","51 years","Westmeath","Number","536"
"Population","2011","Male","51 years","Wicklow","Number","874"
"Population","2011","Male","51 years","Wexford","Number","901"
"Population","2011","Male","52 years","State","Number","27014"
"Population","2011","Male","52 years","Cork City and Cork County","Number","3099"
"Population","2011","Male","52 years","Clare","Number","776"
"Population","2011","Male","52 years","Cavan","Number","434"
"Population","2011","Male","52 years","Carlow","Number","326"
"Population","2011","Male","52 years","Dublin City","Number","2798"
"Population","2011","Male","52 years","Donegal","Number","930"
"Population","2011","Male","52 years","Dún Laoghaire-Rathdown","Number","1235"
"Population","2011","Male","52 years","Fingal","Number","1393"
"Population","2011","Male","52 years","Galway City","Number","325"
"Population","2011","Male","52 years","Galway County","Number","1123"
"Population","2011","Male","52 years","Kildare","Number","1209"
"Population","2011","Male","52 years","Kilkenny","Number","636"
"Population","2011","Male","52 years","Kerry","Number","976"
"Population","2011","Male","52 years","Longford","Number","222"
"Population","2011","Male","52 years","Louth","Number","678"
"Population","2011","Male","52 years","Limerick City and County","Number","1210"
"Population","2011","Male","52 years","Leitrim","Number","221"
"Population","2011","Male","52 years","Laois","Number","475"
"Population","2011","Male","52 years","Meath","Number","1004"
"Population","2011","Male","52 years","Monaghan","Number","337"
"Population","2011","Male","52 years","Mayo","Number","887"
"Population","2011","Male","52 years","Offaly","Number","467"
"Population","2011","Male","52 years","Roscommon","Number","446"
"Population","2011","Male","52 years","South Dublin","Number","1436"
"Population","2011","Male","52 years","Sligo","Number","403"
"Population","2011","Male","52 years","Tipperary","Number","997"
"Population","2011","Male","52 years","Waterford City and County","Number","691"
"Population","2011","Male","52 years","Westmeath","Number","525"
"Population","2011","Male","52 years","Wicklow","Number","856"
"Population","2011","Male","52 years","Wexford","Number","899"
"Population","2011","Male","53 years","State","Number","26489"
"Population","2011","Male","53 years","Cork City and Cork County","Number","3034"
"Population","2011","Male","53 years","Clare","Number","752"
"Population","2011","Male","53 years","Cavan","Number","440"
"Population","2011","Male","53 years","Carlow","Number","319"
"Population","2011","Male","53 years","Dublin City","Number","2765"
"Population","2011","Male","53 years","Donegal","Number","898"
"Population","2011","Male","53 years","Dún Laoghaire-Rathdown","Number","1172"
"Population","2011","Male","53 years","Fingal","Number","1314"
"Population","2011","Male","53 years","Galway City","Number","349"
"Population","2011","Male","53 years","Galway County","Number","1125"
"Population","2011","Male","53 years","Kildare","Number","1102"
"Population","2011","Male","53 years","Kilkenny","Number","635"
"Population","2011","Male","53 years","Kerry","Number","959"
"Population","2011","Male","53 years","Longford","Number","241"
"Population","2011","Male","53 years","Louth","Number","690"
"Population","2011","Male","53 years","Limerick City and County","Number","1195"
"Population","2011","Male","53 years","Leitrim","Number","216"
"Population","2011","Male","53 years","Laois","Number","501"
"Population","2011","Male","53 years","Meath","Number","985"
"Population","2011","Male","53 years","Monaghan","Number","377"
"Population","2011","Male","53 years","Mayo","Number","872"
"Population","2011","Male","53 years","Offaly","Number","439"
"Population","2011","Male","53 years","Roscommon","Number","437"
"Population","2011","Male","53 years","South Dublin","Number","1440"
"Population","2011","Male","53 years","Sligo","Number","413"
"Population","2011","Male","53 years","Tipperary","Number","1051"
"Population","2011","Male","53 years","Waterford City and County","Number","636"
"Population","2011","Male","53 years","Westmeath","Number","514"
"Population","2011","Male","53 years","Wicklow","Number","780"
"Population","2011","Male","53 years","Wexford","Number","838"
"Population","2011","Male","54 years","State","Number","26179"
"Population","2011","Male","54 years","Cork City and Cork County","Number","3051"
"Population","2011","Male","54 years","Clare","Number","712"
"Population","2011","Male","54 years","Cavan","Number","461"
"Population","2011","Male","54 years","Carlow","Number","334"
"Population","2011","Male","54 years","Dublin City","Number","2631"
"Population","2011","Male","54 years","Donegal","Number","946"
"Population","2011","Male","54 years","Dún Laoghaire-Rathdown","Number","1189"
"Population","2011","Male","54 years","Fingal","Number","1346"
"Population","2011","Male","54 years","Galway City","Number","339"
"Population","2011","Male","54 years","Galway County","Number","1094"
"Population","2011","Male","54 years","Kildare","Number","1197"
"Population","2011","Male","54 years","Kilkenny","Number","543"
"Population","2011","Male","54 years","Kerry","Number","967"
"Population","2011","Male","54 years","Longford","Number","215"
"Population","2011","Male","54 years","Louth","Number","648"
"Population","2011","Male","54 years","Limerick City and County","Number","1136"
"Population","2011","Male","54 years","Leitrim","Number","215"
"Population","2011","Male","54 years","Laois","Number","452"
"Population","2011","Male","54 years","Meath","Number","998"
"Population","2011","Male","54 years","Monaghan","Number","349"
"Population","2011","Male","54 years","Mayo","Number","879"
"Population","2011","Male","54 years","Offaly","Number","481"
"Population","2011","Male","54 years","Roscommon","Number","438"
"Population","2011","Male","54 years","South Dublin","Number","1351"
"Population","2011","Male","54 years","Sligo","Number","418"
"Population","2011","Male","54 years","Tipperary","Number","972"
"Population","2011","Male","54 years","Waterford City and County","Number","667"
"Population","2011","Male","54 years","Westmeath","Number","493"
"Population","2011","Male","54 years","Wicklow","Number","755"
"Population","2011","Male","54 years","Wexford","Number","902"
"Population","2011","Male","55 years","State","Number","25296"
"Population","2011","Male","55 years","Cork City and Cork County","Number","2904"
"Population","2011","Male","55 years","Clare","Number","647"
"Population","2011","Male","55 years","Cavan","Number","411"
"Population","2011","Male","55 years","Carlow","Number","299"
"Population","2011","Male","55 years","Dublin City","Number","2551"
"Population","2011","Male","55 years","Donegal","Number","918"
"Population","2011","Male","55 years","Dún Laoghaire-Rathdown","Number","1148"
"Population","2011","Male","55 years","Fingal","Number","1201"
"Population","2011","Male","55 years","Galway City","Number","307"
"Population","2011","Male","55 years","Galway County","Number","1087"
"Population","2011","Male","55 years","Kildare","Number","1042"
"Population","2011","Male","55 years","Kilkenny","Number","580"
"Population","2011","Male","55 years","Kerry","Number","964"
"Population","2011","Male","55 years","Longford","Number","233"
"Population","2011","Male","55 years","Louth","Number","709"
"Population","2011","Male","55 years","Limerick City and County","Number","1118"
"Population","2011","Male","55 years","Leitrim","Number","232"
"Population","2011","Male","55 years","Laois","Number","439"
"Population","2011","Male","55 years","Meath","Number","954"
"Population","2011","Male","55 years","Monaghan","Number","360"
"Population","2011","Male","55 years","Mayo","Number","860"
"Population","2011","Male","55 years","Offaly","Number","425"
"Population","2011","Male","55 years","Roscommon","Number","409"
"Population","2011","Male","55 years","South Dublin","Number","1377"
"Population","2011","Male","55 years","Sligo","Number","409"
"Population","2011","Male","55 years","Tipperary","Number","982"
"Population","2011","Male","55 years","Waterford City and County","Number","643"
"Population","2011","Male","55 years","Westmeath","Number","489"
"Population","2011","Male","55 years","Wicklow","Number","791"
"Population","2011","Male","55 years","Wexford","Number","807"
"Population","2011","Male","56 years","State","Number","25094"
"Population","2011","Male","56 years","Cork City and Cork County","Number","2829"
"Population","2011","Male","56 years","Clare","Number","701"
"Population","2011","Male","56 years","Cavan","Number","444"
"Population","2011","Male","56 years","Carlow","Number","297"
"Population","2011","Male","56 years","Dublin City","Number","2476"
"Population","2011","Male","56 years","Donegal","Number","911"
"Population","2011","Male","56 years","Dún Laoghaire-Rathdown","Number","1121"
"Population","2011","Male","56 years","Fingal","Number","1169"
"Population","2011","Male","56 years","Galway City","Number","349"
"Population","2011","Male","56 years","Galway County","Number","1094"
"Population","2011","Male","56 years","Kildare","Number","1093"
"Population","2011","Male","56 years","Kilkenny","Number","567"
"Population","2011","Male","56 years","Kerry","Number","939"
"Population","2011","Male","56 years","Longford","Number","235"
"Population","2011","Male","56 years","Louth","Number","681"
"Population","2011","Male","56 years","Limerick City and County","Number","1083"
"Population","2011","Male","56 years","Leitrim","Number","199"
"Population","2011","Male","56 years","Laois","Number","414"
"Population","2011","Male","56 years","Meath","Number","932"
"Population","2011","Male","56 years","Monaghan","Number","359"
"Population","2011","Male","56 years","Mayo","Number","892"
"Population","2011","Male","56 years","Offaly","Number","440"
"Population","2011","Male","56 years","Roscommon","Number","444"
"Population","2011","Male","56 years","South Dublin","Number","1356"
"Population","2011","Male","56 years","Sligo","Number","400"
"Population","2011","Male","56 years","Tipperary","Number","949"
"Population","2011","Male","56 years","Waterford City and County","Number","698"
"Population","2011","Male","56 years","Westmeath","Number","487"
"Population","2011","Male","56 years","Wicklow","Number","704"
"Population","2011","Male","56 years","Wexford","Number","831"
"Population","2011","Male","57 years","State","Number","24252"
"Population","2011","Male","57 years","Cork City and Cork County","Number","2817"
"Population","2011","Male","57 years","Clare","Number","658"
"Population","2011","Male","57 years","Cavan","Number","408"
"Population","2011","Male","57 years","Carlow","Number","276"
"Population","2011","Male","57 years","Dublin City","Number","2427"
"Population","2011","Male","57 years","Donegal","Number","930"
"Population","2011","Male","57 years","Dún Laoghaire-Rathdown","Number","1082"
"Population","2011","Male","57 years","Fingal","Number","1201"
"Population","2011","Male","57 years","Galway City","Number","328"
"Population","2011","Male","57 years","Galway County","Number","980"
"Population","2011","Male","57 years","Kildare","Number","1041"
"Population","2011","Male","57 years","Kilkenny","Number","585"
"Population","2011","Male","57 years","Kerry","Number","877"
"Population","2011","Male","57 years","Longford","Number","243"
"Population","2011","Male","57 years","Louth","Number","634"
"Population","2011","Male","57 years","Limerick City and County","Number","1063"
"Population","2011","Male","57 years","Leitrim","Number","217"
"Population","2011","Male","57 years","Laois","Number","407"
"Population","2011","Male","57 years","Meath","Number","909"
"Population","2011","Male","57 years","Monaghan","Number","335"
"Population","2011","Male","57 years","Mayo","Number","838"
"Population","2011","Male","57 years","Offaly","Number","384"
"Population","2011","Male","57 years","Roscommon","Number","428"
"Population","2011","Male","57 years","South Dublin","Number","1265"
"Population","2011","Male","57 years","Sligo","Number","362"
"Population","2011","Male","57 years","Tipperary","Number","958"
"Population","2011","Male","57 years","Waterford City and County","Number","646"
"Population","2011","Male","57 years","Westmeath","Number","434"
"Population","2011","Male","57 years","Wicklow","Number","744"
"Population","2011","Male","57 years","Wexford","Number","775"
"Population","2011","Male","58 years","State","Number","24287"
"Population","2011","Male","58 years","Cork City and Cork County","Number","2805"
"Population","2011","Male","58 years","Clare","Number","709"
"Population","2011","Male","58 years","Cavan","Number","408"
"Population","2011","Male","58 years","Carlow","Number","297"
"Population","2011","Male","58 years","Dublin City","Number","2397"
"Population","2011","Male","58 years","Donegal","Number","911"
"Population","2011","Male","58 years","Dún Laoghaire-Rathdown","Number","1072"
"Population","2011","Male","58 years","Fingal","Number","1256"
"Population","2011","Male","58 years","Galway City","Number","321"
"Population","2011","Male","58 years","Galway County","Number","1025"
"Population","2011","Male","58 years","Kildare","Number","1031"
"Population","2011","Male","58 years","Kilkenny","Number","517"
"Population","2011","Male","58 years","Kerry","Number","856"
"Population","2011","Male","58 years","Longford","Number","217"
"Population","2011","Male","58 years","Louth","Number","601"
"Population","2011","Male","58 years","Limerick City and County","Number","1117"
"Population","2011","Male","58 years","Leitrim","Number","206"
"Population","2011","Male","58 years","Laois","Number","424"
"Population","2011","Male","58 years","Meath","Number","868"
"Population","2011","Male","58 years","Monaghan","Number","349"
"Population","2011","Male","58 years","Mayo","Number","786"
"Population","2011","Male","58 years","Offaly","Number","455"
"Population","2011","Male","58 years","Roscommon","Number","426"
"Population","2011","Male","58 years","South Dublin","Number","1317"
"Population","2011","Male","58 years","Sligo","Number","382"
"Population","2011","Male","58 years","Tipperary","Number","951"
"Population","2011","Male","58 years","Waterford City and County","Number","613"
"Population","2011","Male","58 years","Westmeath","Number","486"
"Population","2011","Male","58 years","Wicklow","Number","692"
"Population","2011","Male","58 years","Wexford","Number","792"
"Population","2011","Male","59 years","State","Number","23192"
"Population","2011","Male","59 years","Cork City and Cork County","Number","2727"
"Population","2011","Male","59 years","Clare","Number","659"
"Population","2011","Male","59 years","Cavan","Number","390"
"Population","2011","Male","59 years","Carlow","Number","291"
"Population","2011","Male","59 years","Dublin City","Number","2257"
"Population","2011","Male","59 years","Donegal","Number","910"
"Population","2011","Male","59 years","Dún Laoghaire-Rathdown","Number","1028"
"Population","2011","Male","59 years","Fingal","Number","1121"
"Population","2011","Male","59 years","Galway City","Number","305"
"Population","2011","Male","59 years","Galway County","Number","961"
"Population","2011","Male","59 years","Kildare","Number","931"
"Population","2011","Male","59 years","Kilkenny","Number","487"
"Population","2011","Male","59 years","Kerry","Number","891"
"Population","2011","Male","59 years","Longford","Number","255"
"Population","2011","Male","59 years","Louth","Number","577"
"Population","2011","Male","59 years","Limerick City and County","Number","1042"
"Population","2011","Male","59 years","Leitrim","Number","185"
"Population","2011","Male","59 years","Laois","Number","386"
"Population","2011","Male","59 years","Meath","Number","804"
"Population","2011","Male","59 years","Monaghan","Number","335"
"Population","2011","Male","59 years","Mayo","Number","767"
"Population","2011","Male","59 years","Offaly","Number","378"
"Population","2011","Male","59 years","Roscommon","Number","405"
"Population","2011","Male","59 years","South Dublin","Number","1349"
"Population","2011","Male","59 years","Sligo","Number","363"
"Population","2011","Male","59 years","Tipperary","Number","902"
"Population","2011","Male","59 years","Waterford City and County","Number","610"
"Population","2011","Male","59 years","Westmeath","Number","432"
"Population","2011","Male","59 years","Wicklow","Number","665"
"Population","2011","Male","59 years","Wexford","Number","779"
"Population","2011","Male","60 years","State","Number","22906"
"Population","2011","Male","60 years","Cork City and Cork County","Number","2566"
"Population","2011","Male","60 years","Clare","Number","693"
"Population","2011","Male","60 years","Cavan","Number","390"
"Population","2011","Male","60 years","Carlow","Number","263"
"Population","2011","Male","60 years","Dublin City","Number","2309"
"Population","2011","Male","60 years","Donegal","Number","844"
"Population","2011","Male","60 years","Dún Laoghaire-Rathdown","Number","989"
"Population","2011","Male","60 years","Fingal","Number","1095"
"Population","2011","Male","60 years","Galway City","Number","286"
"Population","2011","Male","60 years","Galway County","Number","946"
"Population","2011","Male","60 years","Kildare","Number","899"
"Population","2011","Male","60 years","Kilkenny","Number","500"
"Population","2011","Male","60 years","Kerry","Number","910"
"Population","2011","Male","60 years","Longford","Number","201"
"Population","2011","Male","60 years","Louth","Number","535"
"Population","2011","Male","60 years","Limerick City and County","Number","1005"
"Population","2011","Male","60 years","Leitrim","Number","197"
"Population","2011","Male","60 years","Laois","Number","368"
"Population","2011","Male","60 years","Meath","Number","843"
"Population","2011","Male","60 years","Monaghan","Number","329"
"Population","2011","Male","60 years","Mayo","Number","850"
"Population","2011","Male","60 years","Offaly","Number","385"
"Population","2011","Male","60 years","Roscommon","Number","374"
"Population","2011","Male","60 years","South Dublin","Number","1312"
"Population","2011","Male","60 years","Sligo","Number","418"
"Population","2011","Male","60 years","Tipperary","Number","873"
"Population","2011","Male","60 years","Waterford City and County","Number","584"
"Population","2011","Male","60 years","Westmeath","Number","415"
"Population","2011","Male","60 years","Wicklow","Number","720"
"Population","2011","Male","60 years","Wexford","Number","807"
"Population","2011","Male","61 years","State","Number","22199"
"Population","2011","Male","61 years","Cork City and Cork County","Number","2557"
"Population","2011","Male","61 years","Clare","Number","628"
"Population","2011","Male","61 years","Cavan","Number","393"
"Population","2011","Male","61 years","Carlow","Number","269"
"Population","2011","Male","61 years","Dublin City","Number","2215"
"Population","2011","Male","61 years","Donegal","Number","862"
"Population","2011","Male","61 years","Dún Laoghaire-Rathdown","Number","898"
"Population","2011","Male","61 years","Fingal","Number","1027"
"Population","2011","Male","61 years","Galway City","Number","266"
"Population","2011","Male","61 years","Galway County","Number","923"
"Population","2011","Male","61 years","Kildare","Number","864"
"Population","2011","Male","61 years","Kilkenny","Number","512"
"Population","2011","Male","61 years","Kerry","Number","867"
"Population","2011","Male","61 years","Longford","Number","225"
"Population","2011","Male","61 years","Louth","Number","594"
"Population","2011","Male","61 years","Limerick City and County","Number","982"
"Population","2011","Male","61 years","Leitrim","Number","197"
"Population","2011","Male","61 years","Laois","Number","329"
"Population","2011","Male","61 years","Meath","Number","761"
"Population","2011","Male","61 years","Monaghan","Number","311"
"Population","2011","Male","61 years","Mayo","Number","821"
"Population","2011","Male","61 years","Offaly","Number","373"
"Population","2011","Male","61 years","Roscommon","Number","328"
"Population","2011","Male","61 years","South Dublin","Number","1343"
"Population","2011","Male","61 years","Sligo","Number","391"
"Population","2011","Male","61 years","Tipperary","Number","904"
"Population","2011","Male","61 years","Waterford City and County","Number","567"
"Population","2011","Male","61 years","Westmeath","Number","398"
"Population","2011","Male","61 years","Wicklow","Number","645"
"Population","2011","Male","61 years","Wexford","Number","749"
"Population","2011","Male","62 years","State","Number","22127"
"Population","2011","Male","62 years","Cork City and Cork County","Number","2564"
"Population","2011","Male","62 years","Clare","Number","656"
"Population","2011","Male","62 years","Cavan","Number","347"
"Population","2011","Male","62 years","Carlow","Number","260"
"Population","2011","Male","62 years","Dublin City","Number","2186"
"Population","2011","Male","62 years","Donegal","Number","883"
"Population","2011","Male","62 years","Dún Laoghaire-Rathdown","Number","935"
"Population","2011","Male","62 years","Fingal","Number","1008"
"Population","2011","Male","62 years","Galway City","Number","301"
"Population","2011","Male","62 years","Galway County","Number","926"
"Population","2011","Male","62 years","Kildare","Number","908"
"Population","2011","Male","62 years","Kilkenny","Number","467"
"Population","2011","Male","62 years","Kerry","Number","860"
"Population","2011","Male","62 years","Longford","Number","230"
"Population","2011","Male","62 years","Louth","Number","552"
"Population","2011","Male","62 years","Limerick City and County","Number","1033"
"Population","2011","Male","62 years","Leitrim","Number","194"
"Population","2011","Male","62 years","Laois","Number","336"
"Population","2011","Male","62 years","Meath","Number","779"
"Population","2011","Male","62 years","Monaghan","Number","318"
"Population","2011","Male","62 years","Mayo","Number","795"
"Population","2011","Male","62 years","Offaly","Number","374"
"Population","2011","Male","62 years","Roscommon","Number","376"
"Population","2011","Male","62 years","South Dublin","Number","1213"
"Population","2011","Male","62 years","Sligo","Number","377"
"Population","2011","Male","62 years","Tipperary","Number","870"
"Population","2011","Male","62 years","Waterford City and County","Number","562"
"Population","2011","Male","62 years","Westmeath","Number","413"
"Population","2011","Male","62 years","Wicklow","Number","712"
"Population","2011","Male","62 years","Wexford","Number","692"
"Population","2011","Male","63 years","State","Number","21679"
"Population","2011","Male","63 years","Cork City and Cork County","Number","2464"
"Population","2011","Male","63 years","Clare","Number","651"
"Population","2011","Male","63 years","Cavan","Number","384"
"Population","2011","Male","63 years","Carlow","Number","263"
"Population","2011","Male","63 years","Dublin City","Number","2181"
"Population","2011","Male","63 years","Donegal","Number","851"
"Population","2011","Male","63 years","Dún Laoghaire-Rathdown","Number","967"
"Population","2011","Male","63 years","Fingal","Number","993"
"Population","2011","Male","63 years","Galway City","Number","272"
"Population","2011","Male","63 years","Galway County","Number","919"
"Population","2011","Male","63 years","Kildare","Number","846"
"Population","2011","Male","63 years","Kilkenny","Number","535"
"Population","2011","Male","63 years","Kerry","Number","850"
"Population","2011","Male","63 years","Longford","Number","217"
"Population","2011","Male","63 years","Louth","Number","541"
"Population","2011","Male","63 years","Limerick City and County","Number","948"
"Population","2011","Male","63 years","Leitrim","Number","153"
"Population","2011","Male","63 years","Laois","Number","351"
"Population","2011","Male","63 years","Meath","Number","774"
"Population","2011","Male","63 years","Monaghan","Number","305"
"Population","2011","Male","63 years","Mayo","Number","811"
"Population","2011","Male","63 years","Offaly","Number","371"
"Population","2011","Male","63 years","Roscommon","Number","369"
"Population","2011","Male","63 years","South Dublin","Number","1144"
"Population","2011","Male","63 years","Sligo","Number","340"
"Population","2011","Male","63 years","Tipperary","Number","849"
"Population","2011","Male","63 years","Waterford City and County","Number","587"
"Population","2011","Male","63 years","Westmeath","Number","372"
"Population","2011","Male","63 years","Wicklow","Number","633"
"Population","2011","Male","63 years","Wexford","Number","738"
"Population","2011","Male","64 years","State","Number","20958"
"Population","2011","Male","64 years","Cork City and Cork County","Number","2431"
"Population","2011","Male","64 years","Clare","Number","613"
"Population","2011","Male","64 years","Cavan","Number","341"
"Population","2011","Male","64 years","Carlow","Number","255"
"Population","2011","Male","64 years","Dublin City","Number","2169"
"Population","2011","Male","64 years","Donegal","Number","857"
"Population","2011","Male","64 years","Dún Laoghaire-Rathdown","Number","941"
"Population","2011","Male","64 years","Fingal","Number","933"
"Population","2011","Male","64 years","Galway City","Number","282"
"Population","2011","Male","64 years","Galway County","Number","850"
"Population","2011","Male","64 years","Kildare","Number","832"
"Population","2011","Male","64 years","Kilkenny","Number","458"
"Population","2011","Male","64 years","Kerry","Number","859"
"Population","2011","Male","64 years","Longford","Number","201"
"Population","2011","Male","64 years","Louth","Number","525"
"Population","2011","Male","64 years","Limerick City and County","Number","894"
"Population","2011","Male","64 years","Leitrim","Number","167"
"Population","2011","Male","64 years","Laois","Number","328"
"Population","2011","Male","64 years","Meath","Number","731"
"Population","2011","Male","64 years","Monaghan","Number","293"
"Population","2011","Male","64 years","Mayo","Number","819"
"Population","2011","Male","64 years","Offaly","Number","326"
"Population","2011","Male","64 years","Roscommon","Number","334"
"Population","2011","Male","64 years","South Dublin","Number","1052"
"Population","2011","Male","64 years","Sligo","Number","330"
"Population","2011","Male","64 years","Tipperary","Number","777"
"Population","2011","Male","64 years","Waterford City and County","Number","598"
"Population","2011","Male","64 years","Westmeath","Number","377"
"Population","2011","Male","64 years","Wicklow","Number","681"
"Population","2011","Male","64 years","Wexford","Number","704"
"Population","2011","Male","65 years","State","Number","19967"
"Population","2011","Male","65 years","Cork City and Cork County","Number","2345"
"Population","2011","Male","65 years","Clare","Number","605"
"Population","2011","Male","65 years","Cavan","Number","360"
"Population","2011","Male","65 years","Carlow","Number","231"
"Population","2011","Male","65 years","Dublin City","Number","1981"
"Population","2011","Male","65 years","Donegal","Number","818"
"Population","2011","Male","65 years","Dún Laoghaire-Rathdown","Number","872"
"Population","2011","Male","65 years","Fingal","Number","890"
"Population","2011","Male","65 years","Galway City","Number","288"
"Population","2011","Male","65 years","Galway County","Number","827"
"Population","2011","Male","65 years","Kildare","Number","798"
"Population","2011","Male","65 years","Kilkenny","Number","405"
"Population","2011","Male","65 years","Kerry","Number","832"
"Population","2011","Male","65 years","Longford","Number","199"
"Population","2011","Male","65 years","Louth","Number","490"
"Population","2011","Male","65 years","Limerick City and County","Number","866"
"Population","2011","Male","65 years","Leitrim","Number","167"
"Population","2011","Male","65 years","Laois","Number","306"
"Population","2011","Male","65 years","Meath","Number","682"
"Population","2011","Male","65 years","Monaghan","Number","261"
"Population","2011","Male","65 years","Mayo","Number","761"
"Population","2011","Male","65 years","Offaly","Number","316"
"Population","2011","Male","65 years","Roscommon","Number","351"
"Population","2011","Male","65 years","South Dublin","Number","994"
"Population","2011","Male","65 years","Sligo","Number","356"
"Population","2011","Male","65 years","Tipperary","Number","777"
"Population","2011","Male","65 years","Waterford City and County","Number","540"
"Population","2011","Male","65 years","Westmeath","Number","372"
"Population","2011","Male","65 years","Wicklow","Number","600"
"Population","2011","Male","65 years","Wexford","Number","677"
"Population","2011","Male","66 years","State","Number","18209"
"Population","2011","Male","66 years","Cork City and Cork County","Number","2112"
"Population","2011","Male","66 years","Clare","Number","541"
"Population","2011","Male","66 years","Cavan","Number","302"
"Population","2011","Male","66 years","Carlow","Number","215"
"Population","2011","Male","66 years","Dublin City","Number","1747"
"Population","2011","Male","66 years","Donegal","Number","764"
"Population","2011","Male","66 years","Dún Laoghaire-Rathdown","Number","846"
"Population","2011","Male","66 years","Fingal","Number","872"
"Population","2011","Male","66 years","Galway City","Number","224"
